Date,pull
2023-04-02 18:00:00,258.7
2023-04-04 13:00:00,250
2023-04-07 09:00:00,255
2023-04-08 09:00:00,241
2023-04-09 19:37:00,258
2023-04-10 19:37:00,250
2023-04-11 07:37:00,250
2023-04-12 19:00:00,280
2023-04-13 19:13:00,280
2023-04-14 19:10:00,250
2023-04-15 19:30:00,280
2023-04-16 09:00:00,240
2023-04-17 08:30:00,235.78
2023-04-18 08:30:00,226
2023-04-18 12:30:00,280
2023-04-20 12:35:00,240
2023-04-21 09:00:00,259.63
2023-04-22 15:00:00,280
2023-04-23 09:45:00,260
2023-04-24 08:45:00,280
2023-04-25 12:00:00,248
2023-04-26 09:00:00,248
2023-04-28 09:00:00,235
2023-04-29 22:00:00,232.19
2023-04-30 10:00:00,232
